opportunity_id,project_type,project_name,builder_name,city_name,product_name,package_id,quantity,purchase_date,sales_confirmation_date,account_manager,current_status_name,Latest_date,project_start_date
https://lookup.housing.com/opportunity/4679253,,Siddhivinayak Aarambh,Siddhivinayak Builders And Developers,Mumbai,Drone video + voiceover,,1,5-Sep-2024,5-Sep-2024,Umez Munaf Mulla,Final Delivery,28-Oct-2024,
https://lookup.housing.com/opportunity/4874964,,Spectrum Metro,Spectrum @ Metro,Noida,Construction Update,,1,20-Sep-2024,4-Nov-2024,Manjot Singh,2nd Cut Delivery,12-Nov-2024,
https://lookup.housing.com/opportunity/4245832,,The Pristine Horizon,The Pristine Horizon,Pune,Drone Interactive,,1,5-Jun-2024,22-Jun-2024,Shraddha Suresh Mange Bhanushali,1st Cut Delivery,29-Aug-2024,25-Jun-2024
https://lookup.housing.com/opportunity/4484284,,SJRS Infracity,SJRS Infracity Private Limited,Varanasi,Area Wiki Lite,,1,10-Jul-2024,10-Jul-2024,Shashank Verma,1st Cut Delivery,29-Aug-2024,15-Jul-2024
https://lookup.housing.com/opportunity/2925297,,Visthara,Vrindhavana properties,Coimbatore,Drone video + voiceover,,1,7-Aug-2023,7-Aug-2023,Deepak R,6th Cut Delivery,22-Oct-2024,5-Feb-2024
https://lookup.housing.com/opportunity/4430464,,Square root developers,Square root developers,Bhubaneswar,Drone Interactive,,1,1-Jul-2024,26-Jul-2024,Madhushree Mukherjee,2nd Cut Delivery,28-Aug-2024,2-Aug-2024
https://lookup.housing.com/opportunity/4949205,,Jashn Elevate,Jashn Realty,Lucknow,Custom content,,1,20-Sep-2024,20-Sep-2024,Rishabh Pandey,1st Cut Delivery,3-Oct-2024,23-Sep-2024
https://lookup.housing.com/opportunity/4291449,,CIELO,VTP Corpartion LLP,Pune,Area Wiki Lite,,1,13-Jun-2024,18-Jun-2024,Nikita Chetan Mehta,5th Cut Delivery,24-Aug-2024,18-Jun-2024
https://lookup.housing.com/opportunity/5085668,,Keshvam Skyview,Swaminarayan Group,Gandhinagar,Drone video + voiceover,,1,21-Oct-2024,1-Nov-2024,Sheth Sagar Rajendrabhai,1st Cut Delivery,2-Dec-2024,18-Nov-2024
https://lookup.housing.com/opportunity/4085865,,Omaxe Ltd,Omaxe Ltd,Noida,Drone Interactive,,1,30-Apr-2024,16-May-2024,Neeraj Malhotra,5th Cut Delivery,22-Oct-2024,5-Jul-2024
https://lookup.housing.com/opportunity/4085865,,Omaxe Ltd,Omaxe Ltd,Noida,Drone video + voiceover,,1,30-Apr-2024,16-May-2024,Neeraj Malhotra,3rd Cut Delivery,4-Nov-2024,4-Oct-2024
https://lookup.housing.com/opportunity/5112974,,VK Lal Hari,Veekaylal Investment Company,Mumbai,Drone video,,1,5-Nov-2024,5-Nov-2024,Sandip N Dalsingh,1st Cut Delivery,13-Dec-2024,27-Nov-2024
https://lookup.housing.com/opportunity/5112974,,VK Lal Residency,Veekaylal Investment Company,Mumbai,Drone video,,1,5-Nov-2024,5-Nov-2024,Sandip N Dalsingh,1st Cut Delivery,28-Dec-2024,6-Dec-2024
https://lookup.housing.com/opportunity/4773237,,Shreeji Urban,Shreeji Developers,Mumbai,Drone video + voiceover,,1,22-Aug-2024,22-Aug-2024,Umez Munaf Mulla,3rd Cut Delivery,12-Nov-2024,3-Sep-2024
https://lookup.housing.com/opportunity/2378733,,Konark,Konark Land Developers,Mumbai,Area Wiki Lite,,1,30-May-2024,11-Jul-2024,Amit Nitish Raval,1st Cut Delivery,4-Dec-2024,15-Jul-2024
https://lookup.housing.com/opportunity/3930203,,SSVR Builders,SSVR Builders,Bangalore,Drone Interactive,,1,31-Mar-2024,2-Apr-2024,Deepak Kumar Panigrahy,3rd Cut Delivery,6-Sep-2024,19-Jun-2024
https://lookup.housing.com/opportunity/4085865,,Omaxe Ltd,Omaxe Ltd,Noida,Area Wiki Lite,,1,30-Apr-2024,16-May-2024,Neeraj Malhotra,4th Cut Delivery,22-Oct-2024,28-May-2024
https://lookup.housing.com/opportunity/3839982,,Onyx,Modern Spaaces,Bangalore,Drone video + voiceover,,1,11-Mar-2024,11-Mar-2024,Deepak Kumar Panigrahy,4th Cut Delivery,28-Oct-2024,13-Mar-2024
https://lookup.housing.com/opportunity/3839982,,Onyx,Modern Spaaces,Bangalore,Area Wiki Lite,,1,11-Mar-2024,11-Mar-2024,Deepak Kumar Panigrahy,1st Cut Delivery,10-Sep-2024,30-Apr-2024
https://lookup.housing.com/opportunity/3580874,,Sreevatsa Real Estates Pvt Ltd,Sreevatsa Real Estates Pvt Ltd,Coimbatore,Drone video + voiceover,,1,5-Jan-2024,1-Jun-2024,Vinothkumar Thiyagarajan,2nd Cut Delivery,12-Sep-2024,3-Jul-2024
